mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	2	1		f#.i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	3/4	2	1		i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	0	0	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
2	2	1/4	1/4	3/4	2	1		V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	0	0	3/4	2	1		i	f#	i		i	i							m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
3	3	1/2	1/2	3/4	2	1		i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	0	0	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
4	4	1/2	1/2	3/4	2	1		V|HC}	f#	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	0	0	3/4	2	1		i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	3/4	2	1		i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
6	6	1/4	1/4	3/4	2	1		V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	0	0	3/4	2	1		V.ii	f#	V		ii	ii							m	1	0	2, -1, 3		2	2
7	7	1/4	1/4	3/4	2	1		V(4)	f#	V		V(4)	V			4				M	1	0	1, 0, 2		1	1
7	7	1/2	1/2	3/4	2	1		V	f#	V		V	V							M	1	0	1, 5, 2		1	1
8	8	0	0	3/4	2	1		I|PAC}	f#	V		I	I					PAC	}	M	1	0	0, 4, 1		0	0
9	9	0	0	3/4	2	1		i.i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
9	9	1/4	1/4	3/4	2	1		i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	0	0	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
10	10	1/4	1/4	3/4	2	1		V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
11	11	0	0	3/4	2	1		i	f#	i		i	i							m	1	1	0, -3, 1		0	0
11	11	1/4	1/4	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
11	11	1/2	1/2	3/4	2	1		i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	12	0	0	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
12	12	1/2	1/2	3/4	2	1		V|HC}	f#	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
13	13	0	0	3/4	2	1		i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
13	13	1/4	1/4	3/4	2	1		i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	0	0	3/4	2	1		V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
14	14	1/4	1/4	3/4	2	1		V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
15	15	0	0	3/4	2	1		V.ii	f#	V		ii	ii							m	1	0	2, -1, 3		2	2
15	15	1/4	1/4	3/4	2	1		V(4)	f#	V		V(4)	V			4				M	1	0	1, 0, 2		1	1
15	15	1/2	1/2	3/4	2	1		V	f#	V		V	V							M	1	0	1, 5, 2		1	1
16	16	0	0	3/4	2	1		I|PAC}	f#	V		I	I					PAC	}	M	1	0	0, 4, 1		0	0
17	17	0	0	3/4	2	1		III.I{	f#	III		I	I						{	M	1	0	0, 4, 1		0	0
18	18	0	0	3/4	2	1		V/V	f#	III		V/V	V				V			M	1	0	2, 6, 3		2	2
18	18	1/8	1/8	3/4	2	1		ii	f#	III		ii	ii							m	1	0	2, -1, 3		2	2
18	18	1/4	1/4	3/4	2	1		viio	f#	III		viio	vii	o						o	1	0	5, 2, -1		5	5
18	18	1/2	1/2	3/4	2	1		V	f#	III		V	V							M	1	0	1, 5, 2		1	1
19	19	0	0	3/4	2	1		I	f#	III		I	I							M	1	0	0, 4, 1		0	0
20	20	0	0	3/4	2	1		V/V	f#	III		V/V	V				V			M	1	0	2, 6, 3		2	2
20	20	1/12	1/12	3/4	2	1		ii	f#	III		ii	ii							m	1	0	2, -1, 3		2	2
20	20	1/4	1/4	3/4	2	1		viio	f#	III		viio	vii	o						o	1	0	5, 2, -1		5	5
20	20	1/2	1/2	3/4	2	1		V|HC}	f#	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
21	21	0	0	3/4	2	1		I.I{	f#	I		I	I						{	M	1	0	0, 4, 1		0	0
22	22	0	0	3/4	2	1		V/V	f#	I		V/V	V				V			M	1	0	2, 6, 3		2	2
22	22	1/8	1/8	3/4	2	1		ii	f#	I		ii	ii							m	1	0	2, -1, 3		2	2
22	22	1/4	1/4	3/4	2	1		viio6	f#	I		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
22	22	1/2	1/2	3/4	2	1		V	f#	I		V	V							M	1	0	1, 5, 2		1	1
23	23	0	0	3/4	2	1		I	f#	I		I	I							M	1	0	0, 4, 1		0	0
24	24	0	0	3/4	2	1		V/V	f#	I		V/V	V				V			M	1	0	2, 6, 3		2	2
24	24	1/6	1/6	3/4	2	1		ii	f#	I		ii	ii							m	1	0	2, -1, 3		2	2
24	24	1/4	1/4	3/4	2	1		V|HC}	f#	I		V	V					HC	}	M	1	0	1, 5, 2		1	1
25	25	0	0	3/4	2	1		i.i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
26	26	0	0	3/4	2	1		V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	26	1/4	1/4	3/4	2	1		#viio6	f#	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
