mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/2	.f#.V		f#	i		V	V						M	1	1	1, 5, 2		1	1
2	1	0	i		f#	i		i	i						m	1	1	0, -3, 1		0	0
2	1	1/2	V		f#	i		V	V						M	1	1	1, 5, 2		1	1
3	2	0	i		f#	i		i	i						m	1	1	0, -3, 1		0	0
3	2	1/2	V/III		f#	i		V/III	V				III		M	1	1	-2, 2, -1		-2	-2
4	3	0	I/III		f#	i		I/III	I				III		M	1	1	-3, 1, -2		-3	-3
4	3	1/2	V43(4)/III		f#	i		V43(4)/III	V		43	4	III		Mm7	1	1	-1, -4, -2, -3		-2	-1
5	4	0	I6/III		f#	i		I6/III	I		6		III		M	1	1	1, -2, -3		-3	1
5	4	1/2	ii6/III		f#	i		ii6/III	ii		6		III		m	1	1	-4, 0, -1		-1	-4
6	5	0	V(64)/III		f#	i		V(64)/III	V			64	III		M	1	1	-2, -3, 1		-2	-2
6	5	1/2	V7/III		f#	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
7	6	0	i6		f#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
7	6	1/2	iio6		f#	i		iio6	ii	o	6				o	1	1	-1, -4, 2		2	-1
8	7	0	V(64)		f#	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
8	7	1/2	V		f#	i		V	V						M	1	1	1, 5, 2		1	1
9	8	0	i\\		f#	i		i	i					\\	m	1	1	0, -3, 1		0	0
9	8	1/2	V		f#	i		V	V						M	1	1	1, 5, 2		1	1
10	9	0	i6		f#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
10	9	1/2	V		f#	i		V	V						M	1	1	1, 5, 2		1	1
11	10	0	i		f#	i		i	i						m	1	1	0, -3, 1		0	0
11	10	1/2	ii%7		f#	i		ii%7	ii	%	7				%7	1	1	2, 1, 8, 0		2	2
12	11	0	i6		f#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
12	11	1/2	iv		f#	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
13	12	0	i43		f#	i		i43	i		43				mm7	1	1	1, -2, 0, -3		0	1
13	12	1/2	iv		f#	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
14	13	0	i6		f#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
14	13	1/2	ii%7		f#	i		ii%7	ii	%	7				%7	1	1	2, 1, 8, 0		2	2
15	14	0	i		f#	i		i	i						m	1	1	0, -3, 1		0	0
15	14	1/2	ii%65		f#	i		ii%65	ii	%	65				%7	1	1	1, 8, 0, 2		2	1
16	15	0	V(64)		f#	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
16	15	1/2	V7		f#	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
17	16	0	i\\		f#	i		i	i					\\	m	1	1	0, -3, 1		0	0
