mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.c#.V		c#	i		V	V						M	1	1	1, 5, 2		1	1
2	1	0	i		c#	i		i	i						m	1	1	0, -3, 1		0	0
2	1	1/4	#viio6		c#	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
2	1	3/8	i6		c#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
2	1	5/8	iv		c#	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
3	2	0	V		c#	i		V	V						M	1	1	1, 5, 2		1	1
3	2	1/4	VI	iv6	c#	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
3	2	3/8	VII	v6	c#	i		VII	VII						M	1	1	-2, 2, -1		-2	-2
3	2	5/8	VI	iv6	c#	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
4	3	0	V		c#	i		V	V						M	1	1	1, 5, 2		1	1
4	3	1/8	V2		c#	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
4	3	1/4	i6		c#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
4	3	3/8	V64		c#	i		V64	V		64				M	1	1	2, 1, 5		1	2
4	3	1/2	i		c#	i		i	i						m	1	1	0, -3, 1		0	0
5	4	1/8	V2/iv		c#	i		V2/iv	V		2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
5	4	1/4	iv6		c#	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
5	4	3/8	V64/iv		c#	i		V64/iv	V		64		iv		M	1	1	1, 0, 4		0	1
5	4	1/2	iv		c#	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
5	4	5/8	V		c#	i		V	V						M	1	1	1, 5, 2		1	1
6	5	1/8	V2		c#	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
6	5	1/4	i6		c#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
6	5	3/8	V64		c#	i		V64	V		64				M	1	1	2, 1, 5		1	2
6	5	1/2	i		c#	i		i	i						m	1	1	0, -3, 1		0	0
7	6	1/8	V2/iv		c#	i		V2/iv	V		2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
7	6	1/4	iv6		c#	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
7	6	3/8	V64/iv		c#	i		V64/iv	V		64		iv		M	1	1	1, 0, 4		0	1
7	6	1/2	iv		c#	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
7	6	5/8	V		c#	i		V	V						M	1	1	1, 5, 2		1	1
8	7	1/8	V2		c#	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
8	7	1/4	i6		c#	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
