mc	mn	onset	label
1	1	0	.A.I[I
1	1	1/2	vii%43/V
2	2	0	I
2	2	1/4	vii%43/V
2	2	1/2	I
3	3	0	vi6
3	3	1/4	I
3	3	1/2	V2(9)/V
4	4	0	I
4	4	1/4	vii%43/V
4	4	1/2	I]
5	5	0	V43/V
5	5	1/2	ii%43
6	6	0	V(964)
6	6	1/4	V2
6	6	1/2	I6
7	7	0	ii7(9)
7	7	1/4	ii7
8	8	0	V7(9)
8	8	1/4	ii64
8	8	1/2	V65\\
9	9	0	I[I
9	9	1/2	vii%43/V
10	10	0	I
10	10	1/4	vii%43/V
10	10	1/2	I
11	11	0	vi6
11	11	1/4	I
11	11	1/2	V2(9)/V
12	12	0	I
12	12	1/2	I+]
13	13	0	V43/V
13	13	1/2	ii%43
14	14	0	V(964)
14	14	1/4	V2
14	14	1/2	I6
15	15	0	V7(9)/V
15	15	1/4	V7/V
15	15	1/2	V7(9)
16	16	0	I\\
17	17	0	V
17	17	1/2	ii%7
18	18	0	V
18	18	1/2	ii%7
19	19	0	V
19	19	1/2	ii%7(9)
20	20	0	V7
20	20	1/2	ii%7
21	21	0	V
21	21	1/2	V7/IV
22	22	0	IV
22	22	1/4	V7/bVI
22	22	1/2	.bVI
23	23	0	II
23	23	1/4	V7/bI
23	23	1/2	V7/III
24	24	0	III
28	28	1/8	V43
28	28	1/2	V7\\
29	29	0	I[I
29	29	1/2	vii%43/V
30	30	0	I
30	30	1/4	vii%43/V
30	30	1/2	I
31	31	0	vi6
31	31	1/4	I
31	31	1/2	V2(9)/V
32	32	0	I
32	32	1/2	I+]
33	33	0	V43/V
33	33	1/2	ii%43
34	34	0	V7(9)
34	34	1/4	V2
34	34	1/2	I6
35	35	0	ii7(9)
35	35	1/4	ii7
36	36	0	ii%43
37	37	0	V7(4)
38	38	3/8	V7
39	39	0	I[I
39	39	1/2	vii%43/V
40	40	0	I
40	40	1/2	vii%43/V
41	41	0	I
41	41	1/2	vii%43/V
42	42	0	I
42	42	1/2	vii%43/V
43	43	0	I]\\
