mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1	f#.i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	2.0	1/4	1/4	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	3	1.0	0	0	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
2	2	4	4	2.0	1/4	1/4	3/4	2	1	V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	6	6	1.0	0	0	3/4	2	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
3	3	7	7	1.0	1/4	1/4	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
3	3	8	8	1.0	1/2	1/2	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	9	9	2.0	0	0	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
4	4	11	11	1.0	1/2	1/2	3/4	2	1	V|HC}	f#	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	12	12	1.0	0	0	3/4	2	1	i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
5	5	13	13	2.0	1/4	1/4	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	15	15	1.0	0	0	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
6	6	16	16	2.0	1/4	1/4	3/4	2	1	V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	18	18	1.0	0	0	3/4	2	1	V.ii	f#	V		ii	ii							m	1	0	2, -1, 3		2	2
7	7	19	19	1.0	1/4	1/4	3/4	2	1	V(4)	f#	V		V(4)	V			4				M	1	0	1, 0, 2		1	1
7	7	20	20	1.0	1/2	1/2	3/4	2	1	V	f#	V		V	V							M	1	0	1, 5, 2		1	1
8	8	21	21	3.0	0	0	3/4	2	1	I|PAC}	f#	V		I	I					PAC	}	M	1	0	0, 4, 1		0	0
9	9	24	24	1.0	0	0	3/4	2	1	i.i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
9	9	25	25	2.0	1/4	1/4	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
10	10	27	27	1.0	0	0	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
10	10	28	28	2.0	1/4	1/4	3/4	2	1	V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
11	11	30	30	1.0	0	0	3/4	2	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
11	11	31	31	1.0	1/4	1/4	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
11	11	32	32	1.0	1/2	1/2	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	12	33	33	2.0	0	0	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
12	12	35	35	1.0	1/2	1/2	3/4	2	1	V|HC}	f#	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
13	13	36	36	1.0	0	0	3/4	2	1	i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
13	13	37	37	2.0	1/4	1/4	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	14	39	39	1.0	0	0	3/4	2	1	V64	f#	i		V64	V		64					M	1	1	2, 1, 5		1	2
14	14	40	40	2.0	1/4	1/4	3/4	2	1	V6	f#	i		V6	V		6					M	1	1	5, 2, 1		1	5
15	15	42	42	1.0	0	0	3/4	2	1	V.ii	f#	V		ii	ii							m	1	0	2, -1, 3		2	2
15	15	43	43	1.0	1/4	1/4	3/4	2	1	V(4)	f#	V		V(4)	V			4				M	1	0	1, 0, 2		1	1
15	15	44	44	1.0	1/2	1/2	3/4	2	1	V	f#	V		V	V							M	1	0	1, 5, 2		1	1
16	16	45	45	3.0	0	0	3/4	2	1	I|PAC}	f#	V		I	I					PAC	}	M	1	0	0, 4, 1		0	0
17	17	48	48	3.0	0	0	3/4	2	1	III.I{	f#	III		I	I						{	M	1	0	0, 4, 1		0	0
18	18	51	51	0.5	0	0	3/4	2	1	V/V	f#	III		V/V	V				V			M	1	0	2, 6, 3		2	2
18	18	103/2	103/2	0.5	1/8	1/8	3/4	2	1	ii	f#	III		ii	ii							m	1	0	2, -1, 3		2	2
18	18	52	52	1.0	1/4	1/4	3/4	2	1	viio	f#	III		viio	vii	o						o	1	0	5, 2, -1		5	5
18	18	53	53	1.0	1/2	1/2	3/4	2	1	V	f#	III		V	V							M	1	0	1, 5, 2		1	1
19	19	54	54	3.0	0	0	3/4	2	1	I	f#	III		I	I							M	1	0	0, 4, 1		0	0
20	20	57	57	0.3333333333333357	0	0	3/4	2	1	V/V	f#	III		V/V	V				V			M	1	0	2, 6, 3		2	2
20	20	172/3	172/3	0.6666666666666643	1/12	1/12	3/4	2	1	ii	f#	III		ii	ii							m	1	0	2, -1, 3		2	2
20	20	58	58	1.0	1/4	1/4	3/4	2	1	viio	f#	III		viio	vii	o						o	1	0	5, 2, -1		5	5
20	20	59	59	1.0	1/2	1/2	3/4	2	1	V|HC}	f#	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
21	21	60	60	3.0	0	0	3/4	2	1	I.I{	f#	I		I	I						{	M	1	0	0, 4, 1		0	0
22	22	63	63	0.5	0	0	3/4	2	1	V/V	f#	I		V/V	V				V			M	1	0	2, 6, 3		2	2
22	22	127/2	127/2	0.5	1/8	1/8	3/4	2	1	ii	f#	I		ii	ii							m	1	0	2, -1, 3		2	2
22	22	64	64	1.0	1/4	1/4	3/4	2	1	viio6	f#	I		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
22	22	65	65	1.0	1/2	1/2	3/4	2	1	V	f#	I		V	V							M	1	0	1, 5, 2		1	1
23	23	66	66	3.0	0	0	3/4	2	1	I	f#	I		I	I							M	1	0	0, 4, 1		0	0
24	24	69	69	0.6666666666666714	0	0	3/4	2	1	V/V	f#	I		V/V	V				V			M	1	0	2, 6, 3		2	2
24	24	209/3	209/3	0.3333333333333286	1/6	1/6	3/4	2	1	ii	f#	I		ii	ii							m	1	0	2, -1, 3		2	2
24	24	70	70	2.0	1/4	1/4	3/4	2	1	V|HC}	f#	I		V	V					HC	}	M	1	0	1, 5, 2		1	1
25	25	72	72	3.0	0	0	3/4	2	1	i.i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
26	26	75	75	1.0	0	0	3/4	2	1	V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	26	76	76	1.0	1/4	1/4	3/4	2	1	#viio6	f#	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
26	26	77	77	1.0	1/2	1/2	3/4	2	1	V	f#	i		V	V							M	1	1	1, 5, 2		1	1
27	27	78	78	1.0	0	0	3/4	2	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
27	27	79	79	1.0	1/4	1/4	3/4	2	1	V(64)	f#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
27	27	80	80	1.0	1/2	1/2	3/4	2	1	V7	f#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
28	28	81	81	5.0	0	0	3/4	2	1	i|PAC}	f#	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
29	29	84	84	0.0	0	0	3/4	2	1	{	f#	i									{		1	1				
29	29	86	86	1.0	1/2	1/2	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
30	30	87	87	2.0	0	0	3/4	2	1	V	f#	i		V	V							M	1	1	1, 5, 2		1	1
30	30	89	89	1.0	1/2	1/2	3/4	2	1	#viio64	f#	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
31	31	90	90	2.0	0	0	3/4	2	1	i	f#	i		i	i							m	1	1	0, -3, 1		0	0
31	31	92	92	1.0	1/2	1/2	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
32	32	93	93	2.0	0	0	3/4	2	1	V	f#	i		V	V							M	1	1	1, 5, 2		1	1
32	32	95	95	1.0	1/2	1/2	3/4	2	1	V2|HC}	f#	i		V2	V		2			HC	}	Mm7	1	1	-1, 1, 5, 2		1	-1
33	33	96	96	2.0	0	0	3/4	2	1	i{	f#	i		i	i						{	m	1	1	0, -3, 1		0	0
33	33	98	98	1.0	1/2	1/2	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
34	34	99	99	2.0	0	0	3/4	2	1	V	f#	i		V	V							M	1	1	1, 5, 2		1	1
34	34	101	101	1.0	1/2	1/2	3/4	2	1	#viio64	f#	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
35	35	102	102	1.0	0	0	3/4	2	1	i6	f#	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
35	35	103	103	1.0	1/4	1/4	3/4	2	1	V/V	f#	i		V/V	V				V			M	1	1	2, 6, 3		2	2
35	35	104	104	1.0	1/2	1/2	3/4	2	1	V43	f#	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
36	36	105	105	3.0	0	0	3/4	2	1	i|PAC}	f#	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
