mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1	Db.V43/V{	Db	I		V43/V		V		43		V		{	Mm7	0	0	3, 0, 2, 6		2	3
1	1	1	1.0	1/4	1/4	2/4	2	1	Ger6	Db	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
2	2	2	1.0	0	0	2/4	2	1	V65/V	Db	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
2	2	3	1.0	1/4	1/4	2/4	2	1	V[V(6#4)	Db	I	V	V(6#4)		V			6#4				M	0	0	1, 5, 7, 4		1	1
3	3	4	1.5	0	0	2/4	2	1	V7	Db	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	11/2	1.0	3/8	3/8	2/4	2	1	#viio43/ii	Db	I	V	#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
4	4	13/2	1.0	1/8	1/8	2/4	2	1	IV6	Db	I	V	IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	15/2	1.0	3/8	3/8	2/4	2	1	viio65/V	Db	I	V	viio65/V		vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
5	5	17/2	1.0	1/8	1/8	2/4	2	1	V7]|HC}	Db	I	V	V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
5	5	19/2	0.5	3/8	3/8	2/4	2	1	vii%43{	Db	I		vii%43		vii	%	43				{	%7	0	0	-1, 3, 5, 2		5	-1
6	6	10	0.5	0	0	2/4	2	1	I6	Db	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	21/2	1.0	1/8	1/8	2/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
