mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.b.i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	2/4	1	1	V7	b	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	2	0	0	2/4	1	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
3	3	0	0	2/4	1	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
3	3	1/4	1/4	2/4	1	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	0	0	2/4	1	1	i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	2/4	1	1	V7	b	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	0	0	2/4	1	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
6	6	1/4	1/4	2/4	1	1	IV/III	b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
7	7	0	0	2/4	1	1	V(64)/III	b	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
7	7	1/4	1/4	2/4	1	1	V7/III	b	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
8	8	0	0	2/4	1	1	I/III\\	b	i		I/III	I				III		\\	M	1	1	-3, 1, -2		-3	-3
9	9	0	0	2/4	1	1	i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
9	9	1/4	1/4	2/4	1	1	V7	b	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	0	0	2/4	1	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
11	11	0	0	2/4	1	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
11	11	1/4	1/4	2/4	1	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	0	0	2/4	1	1	i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
13	13	1/4	1/4	2/4	1	1	V7	b	i	i	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	0	2/4	1	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
14	14	1/4	1/4	2/4	1	1	III.IV	b	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
15	15	0	0	2/4	1	1	V(64)	b	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
15	15	1/4	1/4	2/4	1	1	V7	b	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
16	16	0	0	2/4	1	1	I\\	b	III		I	I						\\	M	1	0	0, 4, 1		0	0
17	17	0	0	2/4	1	1	I[I	b	III	I	I	I							M	1	0	0, 4, 1		0	0
17	17	1/8	1/8	2/4	1	1	V2	b	III	I	V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
17	17	1/4	1/4	2/4	1	1	I]	b	III	I	I	I							M	1	0	0, 4, 1		0	0
18	18	0	0	2/4	1	1	vi	b	III		vi	vi							m	1	0	3, 0, 4		3	3
18	18	1/8	1/8	2/4	1	1	V43(4)/vi	b	III		V43(4)/vi	V		43	4	vi			Mm7	1	0	5, 2, 4, 3		4	5
18	18	1/4	1/4	2/4	1	1	vi6	b	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
19	19	0	0	2/4	1	1	IV[IV	b	III	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
19	19	1/8	1/8	2/4	1	1	V2/IV	b	III	IV	V2/IV	V		2		IV			Mm7	1	0	-2, 0, 4, 1		0	-2
19	19	1/4	1/4	2/4	1	1	IV]	b	III	IV	IV	IV							M	1	0	-1, 3, 0		-1	-1
20	20	0	0	2/4	1	1	ii	b	III		ii	ii							m	1	0	2, -1, 3		2	2
20	20	1/8	1/8	2/4	1	1	V43(4)/ii	b	III		V43(4)/ii	V		43	4	ii			Mm7	1	0	4, 1, 3, 2		3	4
20	20	1/4	1/4	2/4	1	1	ii6	b	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
21	21	0	0	2/4	1	1	i.i	b	i		i	i							m	1	1	0, -3, 1		0	0
