mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	5/8	6/8	2	1	c#.V{		c#	i		V	V						{	M	1	1	8, 12, 9		8	8	0	2	0.0	0.0	0.25	0.0
2	1	0	0	6/8	2	1	i		c#	i		i	i							m	1	1	7, 4, 8		7	7	2	3	0.4	0.125	0.375	0.25
2	1	1/4	1/4	6/8	2	1	#viio6		c#	i		#viio6	#vii	o	6					o	1	1	9, 6, 12		12	9	1	2	0.3333333333333333	0.0625	0.1875	0.25
2	1	3/8	3/8	6/8	2	1	i6		c#	i		i6	i		6					m	1	1	4, 8, 7		7	4	2	3	0.4	0.125	0.375	0.25
2	1	5/8	5/8	6/8	2	1	iv		c#	i		iv	iv							m	1	1	6, 3, 7		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
3	2	0	0	6/8	2	1	V		c#	i		V	V							M	1	1	8, 12, 9		8	8	2	3	0.4	0.125	0.375	0.25
3	2	1/4	1/4	6/8	2	1	VI	iv6	c#	i		VI	VI							M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
3	2	3/8	3/8	6/8	2	1	VII	v6	c#	i		VII	VII							M	1	1	5, 9, 6		5	5	2	3	0.4	0.125	0.375	0.25
3	2	5/8	5/8	6/8	2	1	VI	iv6	c#	i		VI	VI							M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	3	0	0	6/8	2	1	V		c#	i		V	V							M	1	1	8, 12, 9		8	8	0	3	0.0	0.0	0.25	0.0
4	3	1/8	1/8	6/8	2	1	V2		c#	i		V2	V		2					Mm7	1	1	6, 8, 12, 9		8	6	0	4	0.0	0.0	0.375	0.0
4	3	1/4	1/4	6/8	2	1	i6		c#	i		i6	i		6					m	1	1	4, 8, 7		7	4	0	4	0.0	0.0	0.375	0.0
4	3	3/8	3/8	6/8	2	1	V64		c#	i		V64	V		64					M	1	1	9, 8, 12		8	9	0	4	0.0	0.0	0.375	0.0
4	3	1/2	1/2	6/8	2	1	i		c#	i		i	i							m	1	1	7, 4, 8		7	7	0	12	0.0	0.0	1.125	0.0
5	4	1/8	1/8	6/8	2	1	V2/iv		c#	i		V2/iv	V		2		iv			Mm7	1	1	5, 7, 11, 8		7	5	0	4	0.0	0.0	0.375	0.0
5	4	1/4	1/4	6/8	2	1	iv6		c#	i		iv6	iv		6					m	1	1	3, 7, 6		6	3	0	4	0.0	0.0	0.375	0.0
5	4	3/8	3/8	6/8	2	1	V64/iv		c#	i		V64/iv	V		64		iv			M	1	1	8, 7, 11		7	8	0	4	0.0	0.0	0.375	0.0
5	4	1/2	1/2	6/8	2	1	iv		c#	i		iv	iv							m	1	1	6, 3, 7		6	6	0	4	0.0	0.0	0.375	0.0
5	4	5/8	5/8	6/8	2	1	V		c#	i		V	V							M	1	1	8, 12, 9		8	8	0	6	0.0	0.0	0.5	0.0
6	5	1/8	1/8	6/8	2	1	V2		c#	i		V2	V		2					Mm7	1	1	6, 8, 12, 9		8	6	0	4	0.0	0.0	0.375	0.0
6	5	1/4	1/4	6/8	2	1	i6		c#	i		i6	i		6					m	1	1	4, 8, 7		7	4	0	4	0.0	0.0	0.375	0.0
6	5	3/8	3/8	6/8	2	1	V64		c#	i		V64	V		64					M	1	1	9, 8, 12		8	9	0	4	0.0	0.0	0.375	0.0
6	5	1/2	1/2	6/8	2	1	i		c#	i		i	i							m	1	1	7, 4, 8		7	7	0	12	0.0	0.0	1.125	0.0
7	6	1/8	1/8	6/8	2	1	V2/iv		c#	i		V2/iv	V		2		iv			Mm7	1	1	5, 7, 11, 8		7	5	0	4	0.0	0.0	0.375	0.0
7	6	1/4	1/4	6/8	2	1	iv6		c#	i		iv6	iv		6					m	1	1	3, 7, 6		6	3	0	4	0.0	0.0	0.375	0.0
7	6	3/8	3/8	6/8	2	1	V64/iv		c#	i		V64/iv	V		64		iv			M	1	1	8, 7, 11		7	8	0	4	0.0	0.0	0.375	0.0
7	6	1/2	1/2	6/8	2	1	iv		c#	i		iv	iv							m	1	1	6, 3, 7		6	6	0	4	0.0	0.0	0.375	0.0
7	6	5/8	5/8	6/8	2	1	V		c#	i		V	V							M	1	1	8, 12, 9		8	8	0	6	0.0	0.0	0.5	0.0
8	7	1/8	1/8	6/8	2	1	V2		c#	i		V2	V		2					Mm7	1	1	6, 8, 12, 9		8	6	0	4	0.0	0.0	0.375	0.0
8	7	1/4	1/4	6/8	2	1	i6		c#	i		i6	i		6					m	1	1	4, 8, 7		7	4	0	4	0.0	0.0	0.375	0.0
8	7	3/8	3/8	6/8	2	1	V64		c#	i		V64	V		64					M	1	1	9, 8, 12		8	9	0	4	0.0	0.0	0.375	0.0
8	7	1/2	1/2	6/8	2	1	i		c#	i		i	i							m	1	1	7, 4, 8		7	7	0	4	0.0	0.0	0.375	0.0
8	7	5/8	5/8	6/8	2	1	V6		c#	i		V6	V		6					M	1	1	12, 9, 8		8	12	0	4	0.0	0.0	0.375	0.0
