mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	G.I[I{		G	I	I	I	I						{	M	0	0	1, 5, 2		1.0	1.0	0	21	0.0	0.0	4.5	0.0
2	2	1/4	1/4	6/8	2	1	I+		G	I	I	I+	I	+						+	0	0	1, 5, 9		1.0	1.0	0	5	0.0	0.0	0.625	0.0
2	2	3/8	3/8	6/8	2	1	vi6		G	I	I	vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	0	5	0.0	0.0	1.25	0.0
2	2	5/8	5/8	6/8	2	1	I		G	I	I	I	I							M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	0.625	0.0
3	3	0	0	6/8	2	1	ii	viio6	G	I	I	ii	ii							m	0	0	3, 0, 4		3.0	3.0	4	10	0.2857142857142857	0.75	3.0	0.2
4	4	0	0	6/8	2	1	I}{		G	I	I	I	I						}{	M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.25	0.0
4	4	1/4	1/4	6/8	2	1	vi6	IV64	G	I	I	vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.375	0.0
4	4	3/8	3/8	6/8	2	1	V		G	I	I	V	V							M	0	0	2, 6, 3		2.0	2.0	1	4	0.2	0.25	1.25	0.16666666666666666
4	4	5/8	5/8	6/8	2	1	ii6		G	I	I	ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
5	5	0	0	6/8	2	1	I		G	I	I	I	I							M	0	0	1, 5, 2		1.0	1.0	0	12	0.0	0.0	2.875	0.0
5	5	5/8	5/8	6/8	2	1	viio6		G	I	I	viio6	vii	o	6					o	0	0	3, 0, 6		6.0	3.0	1	4	0.2	0.125	0.5	0.2
6	6	0	0	6/8	2	1	I		G	I	I	I	I							M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	2.25	0.0
6	6	1/4	1/4	6/8	2	1	I+		G	I	I	I+	I	+						+	0	0	1, 5, 9		1.0	1.0	0	3	0.0	0.0	0.375	0.0
6	6	3/8	3/8	6/8	2	1	vi6		G	I	I	vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.75	0.0
6	6	5/8	5/8	6/8	2	1	I		G	I	I	I	I							M	0	0	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.375	0.0
7	7	0	0	6/8	2	1	ii		G	I	I	ii	ii							m	0	0	3, 0, 4		3.0	3.0	8	14	0.36363636363636365	1.25	2.5	0.3333333333333333
