mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	B.ii.i{	B	ii		i	i						{	m	0	1	7, 4, 8		7.0	7.0	0	6	0.0	0.0	1.0	0.0
1	1	1/4	1/4	2/4	2	1	ii.V7/V	B	ii		V7/V	V		7		V			Mm7	0	1	9, 13, 10, 7		9.0	9.0	2	6	0.25	0.125	0.875	0.125
2	2	0	0	2/4	2	1	V	B	ii		V	V							M	0	1	8, 12, 9		8.0	8.0	0	5	0.0	0.0	1.75	0.0
3	3	0	0	2/4	2	1	i	B	ii		i	i							m	0	1	7, 4, 8		7.0	7.0	0	5	0.0	0.0	0.875	0.0
3	3	1/4	1/4	2/4	2	1	V7/V	B	ii		V7/V	V		7		V			Mm7	0	1	9, 13, 10, 7		9.0	9.0	2	6	0.25	0.125	0.875	0.125
4	4	0	0	2/4	2	1	V|HC}{	B	ii		V	V					HC	}{	M	0	1	8, 12, 9		8.0	8.0	0	5	0.0	0.0	1.75	0.0
5	5	0	0	2/4	2	1	I.I	B	I		I	I							M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.875	0.0
5	5	1/4	1/4	2/4	2	1	V7/V	B	I		V7/V	V		7		V			Mm7	0	0	7, 11, 8, 5		7.0	7.0	2	6	0.25	0.125	0.875	0.125
6	6	0	0	2/4	2	1	V	B	I		V	V							M	0	0	6, 10, 7		6.0	6.0	0	5	0.0	0.0	1.75	0.0
7	7	0	0	2/4	2	1	I	B	I		I	I							M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.875	0.0
7	7	1/4	1/4	2/4	2	1	V7/V	B	I		V7/V	V		7		V			Mm7	0	0	7, 11, 8, 5		7.0	7.0	2	6	0.25	0.125	0.875	0.125
8	8	0	0	2/4	2	1	V|HC}	B	I		V	V					HC	}	M	0	0	6, 10, 7		6.0	6.0	0	6	0.0	0.0	2.0	0.0
9	9	0	0	2/4	2	1	I[I{	B	I	I	I	I						{	M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.625	0.0
9	9	1/4	1/4	2/4	2	1	V7	B	I	I	V7	V		7					Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	5	0.16666666666666666	0.125	0.5	0.2
10	10	0	0	2/4	2	1	I|IAC}{	B	I	I	I	I					IAC	}{	M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.875	0.0
10	10	1/4	1/4	2/4	2	1	V7	B	I	I	V7	V		7					Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	3	0.25	0.125	0.25	0.3333333333333333
11	11	0	0	2/4	2	1	I	B	I	I	I	I							M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.625	0.0
11	11	1/4	1/4	2/4	2	1	V7	B	I	I	V7	V		7					Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	5	0.16666666666666666	0.125	0.5	0.2
12	12	0	0	2/4	2	1	I|IAC}{	B	I	I	I	I					IAC	}{	M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.875	0.0
12	12	1/4	1/4	2/4	2	1	V7	B	I	I	V7	V		7					Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	3	0.25	0.125	0.25	0.3333333333333333
13	13	0	0	2/4	2	1	I	B	I	I	I	I							M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.625	0.0
13	13	1/4	1/4	2/4	2	1	V7	B	I	I	V7	V		7					Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	5	0.16666666666666666	0.125	0.5	0.2
14	14	0	0	2/4	2	1	I	B	I	I	I	I							M	0	0	5, 9, 6		5.0	5.0	0	5	0.0	0.0	0.625	0.0
