mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	Db.V43/V{				Db	I		V43/V		V		43		V		{	Mm7	0	0	-2, -5, -3, 1		-3.0	-2.0	0	6	0.0	0.0	0.6875	0.0
1	1	1/4	1/4	2/4	2	1	Ger6				Db	I		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-9, -5, -8, 1		1.0	-9.0	1	5	0.16666666666666666	0.125	0.5625	0.18181818181818182
2	2	0	0	2/4	2	1	V65/V				Db	I		V65/V		V		65		V			Mm7	0	0	1, -2, -5, -3		-3.0	1.0	0	6	0.0	0.0	0.6875	0.0
2	2	1/4	1/4	2/4	2	1	V[V(6#4)	0	-9.4087	/	Db	I	V	V(6#4)		V			6#4				M	0	0	-4, 0, 2, -1		-4.0	-4.0	0	6	0.0	0.0	0.6875	0.0
3	3	0	0	2/4	2	1	V7				Db	I	V	V7		V		7					Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	0	8	0.0	0.0	1.4375	0.0
3	3	3/8	3/8	2/4	2	1	#viio43/ii				Db	I	V	#viio43/ii		#vii	o	43		ii			o7	0	0	-4, -7, 2, -1		2.0	-4.0	0	13	0.0	0.0	1.375	0.0
4	4	1/8	1/8	2/4	2	1	IV6				Db	I	V	IV6		IV		6					M	0	0	-2, -5, -6		-6.0	-2.0	2	6	0.25	0.25	1.3125	0.16
4	4	3/8	3/8	2/4	2	1	viio65/V				Db	I	V	viio65/V		vii	o	65		V			o7	0	0	-2, -5, -8, 1		1.0	-2.0	6	11	0.35294117647058826	0.5625	1.25	0.3103448275862069
5	5	1/8	1/8	2/4	2	1	V7]|HC}	-0.484586	7.66951	/	Db	I	V	V7		V		7			HC	}	Mm7	0	0	-4, 0, -3, -6		-4.0	-4.0	0	9	0.0	0.0	1.625	0.0
5	5	3/8	3/8	2/4	2	1	vii%43{	0	-8.93784	/	Db	I		vii%43		vii	%	43				{	%7	0	0	-6, -2, 0, -3		0.0	-6.0	0	4	0.0	0.0	0.5	0.0
6	6	0	0	2/4	2	1	I6				Db	I		I6		I		6					M	0	0	-1, -4, -5		-5.0	-1.0	0	4	0.0	0.0	0.5	0.0
6	6	1/8	1/8	2/4	2	1	I				Db	I		I		I							M	0	0	-5, -1, -4		-5.0	-5.0	2	6	0.25	0.125	0.625	0.16666666666666666
6	6	3/8	3/8	2/4	2	1	vii%43				Db	I		vii%43		vii	%	43					%7	0	0	-6, -2, 0, -3		0.0	-6.0	0	4	0.0	0.0	0.5	0.0
7	7	0	0	2/4	2	1	I6				Db	I		I6		I		6					M	0	0	-1, -4, -5		-5.0	-1.0	0	4	0.0	0.0	0.5	0.0
7	7	1/8	1/8	2/4	2	1	I				Db	I		I		I							M	0	0	-5, -1, -4		-5.0	-5.0	2	6	0.25	0.125	0.625	0.16666666666666666
7	7	3/8	3/8	2/4	2	1	vii%43				Db	I		vii%43		vii	%	43					%7	0	0	-6, -2, 0, -3		0.0	-6.0	0	4	0.0	0.0	0.5	0.0
8	8	0	0	2/4	2	1	I6				Db	I		I6		I		6					M	0	0	-1, -4, -5		-5.0	-1.0	0	4	0.0	0.0	0.5	0.0
8	8	1/8	1/8	2/4	2	1	vii%7				Db	I		vii%7		vii	%	7					%7	0	0	0, -3, -6, -2		0.0	0.0	0	4	0.0	0.0	0.5	0.0
8	8	1/4	1/4	2/4	2	1	I				Db	I		I		I							M	0	0	-5, -1, -4		-5.0	-5.0	4	8	0.3333333333333333	0.25	0.75	0.25
9	9	0	0	2/4	2	1	V|HC}				Db	I		V		V					HC	}	M	0	0	-4, 0, -3		-4.0	-4.0	1	5	0.16666666666666666	0.0625	1.0625	0.05555555555555555
9	9	3/8	3/8	2/4	2	1	vi43{				Db	I		vi43		vi		43				{	mm7	0	0	-1, -4, -2, -5		-2.0	-1.0	0	4	0.0	0.0	0.5	0.0
