piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	imslp	viaf	musicbrainz	wikidata	originalFormat	pdf	score integrity	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
op08n01	1: 6/8	1: 4, 7: -5, 49: 4	54	52	156.5	54	52	156.5		658.75	957	288	0	0	80	c#	2.3.0	Daniel Grote (2.1.1), Hanné Becker (2.3.0)	Johannes Hentschel (2.1.1), AN	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	1	Allegro feroce	op. 8					2018-05-26	3.02	Microsoft Windows			Silhouettes, op. 8	1. Allegro feroce	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n01.mscx	False	32-92 (G#1-Ab6)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/80bb714e-a36a-4259-b993-6efa5f2f95d6		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	56-92 (G#3-Ab6)	Piano	32-68 (G#1-G#4)	Piano
op08n02	1: 4/4	1: -5	15	15	63.5	15	15	63.5		278.75	340	131	0	0	67	Db	2.3.0	Daniel Grote (2.1.1), Hanné Becker (2.3.0)	Johannes Hentschel (2.1.1), AN	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	2	Andantino	op. 8					2019-03-17	3.02	Microsoft Windows			Silhouettes, op. 8	2. Andantino	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n02.mscx	False	25-82 (Db1-Bb5)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/367afd55-c501-478c-b068-0d8f868e022e		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	48-82 (C3-Bb5)	Piano	25-66 (Db1-Gb4)	Piano
op08n03	1: 2/4	1: -5	72	72	144.0	72	72	144.0		553.25	1215	407	0	0	238	Db	2.3.0	Daniel Grote (2.1.1), Hanné Becker (2.3.0)	Johannes Hentschel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	3	Allegretto	op. 8					2019-03-17	3.02	Microsoft Windows			Silhouettes, op. 8	3. Allegretto	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n03.mscx	False	32-85 (Ab1-Db6)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/d81bb13f-ba60-4748-8a31-10ff8f45b1dc		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	61-85 (Db4-Db6)	Piano	32-70 (Ab1-Bb4)	Piano
op08n04	1: 3/4	1: 3	59	59	177.0	59	59	177.0		567.5	852	372	0	0	136	f#	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	4	Vivace	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	4. Vivace	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n04.mscx	False	30-91 (F#1-G6)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/b58b8047-986d-4bae-af1a-6280eac88a26		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	56-91 (G#3-G6)	Piano	30-69 (F#1-A4)	Piano
op08n05	1: 3/4	1: 3	81	80	241.0	81	80	241.0		1037.0	684	193	0	0	139	f#	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	5	Presto	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	5. Presto	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n05.mscx	False	30-82 (F#1-A#5)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/dde1943a-4331-49f4-9400-ce35a40d635e		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	53-80 (E#3-G#5)	Piano	30-82 (F#1-A#5)	Piano
op08n06	1: 6/8	1: -2	60	60	180.0	60	60	180.0		766.87	825	361	0	0	113	Bb	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	6	Poco sostenuto	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	6. Poco sostenuto	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n06.mscx	False	27-96 (Eb1-C7)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/5b483649-5da3-4492-a9e3-e28970136b89		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	50-96 (D3-C7)	Piano	27-71 (Eb1-B4)	Piano
op08n07	1: 6/8	1: 2	38	38	114.0	38	38	114.0		425.5	793	323	0	0	167	D	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	7	Allegro	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	7. Allegro	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n07.mscx	False	26-95 (D1-B6)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/e00b53c3-c7f3-4d85-b344-494b8a217cd1		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	47-95 (B2-B6)	Piano	26-83 (D1-B5)	Piano
op08n08	1: 2/4	1: 2	57	57	114.0	57	57	114.0		392.65	910	503	0	0	100	b	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1.)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	8	Allegretto	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	8. Allegretto	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n08.mscx	False	30-90 (F#1-F#6)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/bdf8779b-eb4a-41ba-87a3-ab4899bc38e9		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	49-90 (C#3-F#6)	Piano	30-76 (F#1-E5)	Piano
op08n09	1: 2/4	1: 5	61	61	122.0	61	61	122.0		395.5	612	303	0	0	97	B	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	9	Allegro	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	9. Allegro	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n09.mscx	False	23-78 (B0-F#5)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/9dcd73e1-e27b-47b8-982c-c815ecbb8637		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	51-78 (D#3-F#5)	Piano	23-63 (B0-D#4)	Piano
op08n10	1: 6/8	1: 1	58	58	174.0	58	58	174.0		766.0	874	283	0	0	104	G	2.3.0	Adrian Nagel (2.1.1), Hanné Becker (2.3.0)	Adrian Nagel (2.1.1)	1875	1879	OxfordMusicOnline	Antonín Dvořák 	Silhouettes	10	Allegretto grazioso	op. 8					2019-04-04	3.02	Apple Macintosh			Silhouettes, op. 8	10. Allegretto grazioso	Antonín Dvořák 	3.6.2	2.2.1	MS3	MS3/op08n10.mscx	False	35-93 (B1-A6)	https://imslp.org/wiki/Silhouettes%2C_Op.8_(Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn)	https://viaf.org/viaf/174794325/	https://musicbrainz.org/work/277fc597-9c0b-44d0-86c5-d5cdb4aa01fa		xml	https://imslp.org/wiki/Special:ReverseLookup/59514	Tom Schreyer	51-93 (D#3-A6)	Piano	35-81 (B1-A5)	Piano
