mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0						Allegretto grazioso					
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0				p							
1	1	0	0	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	0								
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	1								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	2								
1	1	0	0	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	3								
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	4								
1	1	3/2	3/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	5								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	6								
2	2	3	3	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	7								
2	2	4	4	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	8				0				
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	9				0				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	10				0				
2	2	3	3	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	11								
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	12								
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	13								
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	14								
3	3	6	6	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	15				0				
3	3	6	6	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	16								
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	17								
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	18								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	19								
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	20				0				
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	21				0				
4	4	9	9	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	22								
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	23								
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	24								
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	25								
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	26				0				
