mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0				f				
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						Vivace		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	0		articAccentBelow			
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	1		articAccentBelow			
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	2		articAccentBelow			
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	3		articAccentAbove			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	4		articAccentBelow			
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	5		articAccentBelow			
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	6		articAccentBelow			
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	7		articAccentBelow			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	8		articAccentBelow			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	9		articAccentBelow			
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	10		articAccentBelow			
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	11		articAccentBelow			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	12		articAccentAbove			
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	13		articAccentBelow			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14		articAccentBelow			
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	15		articAccentBelow			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	16		articAccentBelow			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	17		articAccentBelow			
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	18		articAccentBelow			
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	19		articAccentBelow			
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	20		articAccentAbove			
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	21		articAccentBelow			
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	22		articAccentBelow			
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	23		articAccentBelow			
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	24		articAccentBelow			
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	25		articAccentBelow			
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	26		articAccentBelow			
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	27		articAccentBelow			
