mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p					
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							Allegro moderato			
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0				0		
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	1				0		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	2				0		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	3				0		
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	4				0		
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	5				0		
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	6				0		
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	7						
1	1	3/2	3/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	8						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	9						
1	1	0	0	0.0	0	0	StaffText	3/4	2	2	0							Con Pedale			
1	1	0	0	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	10						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	11		articAccentBelow		1		
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	12						
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	13						
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	14		articStaccatoAbove				
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	15		articAccentAbove				
2	2	7/2	7/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	16						
2	2	9/2	9/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	17						
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	18						
2	2	3	3	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	19						
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	20		articAccentBelow		2		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	21						
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	22				3		
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	1	1	0								3		0
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	23				3		0
3	3	15/2	15/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	24				3		0
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	25				3		0
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	26				3		0
3	3	17/2	17/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	27				3		0
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	28				3		0
3	3	13/2	13/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	29						
3	3	15/2	15/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	30						
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	31						
3	3	6	6	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	32						
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	33		articAccentBelow		4		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	34						
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	35						0
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	36		articStaccatoAbove				0
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	37		articAccentAbove				0
4	4	19/2	19/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	38						
4	4	21/2	21/2	0.0	3/8	3/8	Spanner	3/4	2	1	0										1
4	4	21/2	21/2	1.0	3/8	3/8	Chord	3/4	2	1	1/4		1/4	1	39						1
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	40						1
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	41						1
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	3	1/4		1/4	1	42		articAccentBelow		5		1
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	3	1/4		1/4	1	43						1
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0					fz					
5	5	12	12	0.0	0	0	Spanner	3/4	1	1	0										
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	44				6		
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	45				6		
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	46				6		
5	5	29/2	29/2	0.0	5/8	5/8	Spanner	3/4	1	1	0								6	0	
5	5	29/2	29/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	47				6	0	
5	5	117/8	117/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	48				6	0	
5	5	59/4	59/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	49				6	0	
5	5	119/8	119/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	50				6	0	
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0										
5	5	25/2	25/2	1.0	1/8	1/8	Chord	3/4	2	1	1/4		1/4	1	51						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	52						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	53						
5	5	12	12	0.0	0	0	Dynamic	3/4	2	2	0					f					
5	5	12	12	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	54				7		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	55				7		
6	6	15	15	0.0	0	0	StaffText	3/4	1	1	0							dimin.	6		
6	6	15	15	0.0	0	0	Spanner	3/4	1	1	0								6		
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	56				6		
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	57				6		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	58						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	59						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	60						
