mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
3	3	6	6	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	17								0	
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	18								0	
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	19								0	
3	3	8	8	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	20								0	
3	3	35/4	35/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	21								0	
3	3	6	6	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	22									
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	23									
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	24									
3	3	8	8	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	25									
4	4	9	9	0.0	0	0	Spanner	6/8	1	1	0													
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	26									
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	27									
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	28									
4	4	9	9	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	29									
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	30				2					
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	31				2					
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	32									
5	5	12	12	0.0	0	0	StaffText	6/8	1	1	0							cresc.						
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	33									
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	34									
5	5	14	14	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	35									
5	5	59/4	59/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	36									
5	5	12	12	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	37									
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	38									
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	39									
5	5	14	14	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	40									
6	6	15	15	0.0	0	0	Dynamic	6/8	1	1	0					f								
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	41									
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	42									
6	6	35/2	35/2	0.0	5/8	5/8	Spanner	6/8	1	1	0													0
6	6	35/2	35/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24		1/16	2/3	43				3					0
6	6	53/3	53/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24		1/16	2/3	44				3					0
6	6	107/6	107/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24		1/16	2/3	45									0
6	6	15	15	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	46									
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	47									
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	48									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	49									
7	7	18	18	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	50									0
7	7	19	19	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	51									0
7	7	77/4	77/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	52									0
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	53									0
7	7	41/2	41/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	54									0
7	7	83/4	83/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	55									0
7	7	18	18	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	56									
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	57									
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	58									
7	7	20	20	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	59									
8	8	21	21	0.0	0	0	Spanner	6/8	1	1	0											0		0
8	8	21	21	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	60							0		0
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	61							0		0
8	8	47/2	47/2	0.125	5/8	5/8	Chord	6/8	1	1	1/32		1/32	1	62				4			0		0
8	8	189/8	189/8	0.125	21/32	21/32	Chord	6/8	1	1	1/32		1/32	1	63				4			0		0
8	8	95/4	95/4	0.125	11/16	11/16	Chord	6/8	1	1	1/32		1/32	1	64				4			0		0
8	8	191/8	191/8	0.125	23/32	23/32	Chord	6/8	1	1	1/32		1/32	1	65							0		0
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	66									
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	67									
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	68									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	69									
9	9	24	24	0.0	0	0	Dynamic	6/8	1	1	0					p								0
9	9	24	24	0.0	0	0	Spanner	6/8	1	1	0													0
9	9	24	24	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	70									0
9	9	25	25	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	71									0
9	9	101/4	101/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	72									0
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	73									0
9	9	53/2	53/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	74									0
9	9	107/4	107/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	75									0
9	9	24	24	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	76									
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	77									
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	78									
9	9	26	26	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	79									
10	10	27	27	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	80									0
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	81									0
10	10	59/2	59/2	0.0	5/8	5/8	Spanner	6/8	1	1	0													
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	82									
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	83				5					
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	84				5					
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	85				5					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	86									
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0												1	
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	87								1	
11	11	31	31	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	88								1	
11	11	125/4	125/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	89								1	
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	90								1	
11	11	65/2	65/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	91								1	
11	11	131/4	131/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	92								1	
11	11	30	30	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	93									
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	94									
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	95									
11	11	32	32	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	96									
12	12	33	33	0.0	0	0	Spanner	6/8	1	1	0													
12	12	33	33	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	97									
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	98									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	99									
12	12	33	33	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	100				6					
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	101				6					
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	102				6					
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	103									
13	13	36	36	0.0	0	0	Dynamic	6/8	1	1	0					fz								
13	13	36	36	0.0	0	0	Spanner	6/8	1	1	0											1		
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	104							1		
13	13	37	37	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	105							1		
13	13	149/4	149/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	106							1		
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	107							1		
13	13	77/2	77/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	108							1		
13	13	155/4	155/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	109							1		
13	13	36	36	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	110							1		
13	13	36	36	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	111									
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	112									
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	113									
13	13	38	38	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	114									
14	14	39	39	0.0	0	0	Spanner	6/8	1	1	0													
14	14	39	39	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	115									
14	14	39	39	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	116									
14	14	39	39	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	117									
14	14	39	39	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	118									
14	14	40	40	0.0	1/4	1/4	Spanner	6/8	1	2	0											2		
14	14	40	40	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	119							2		
14	14	161/4	161/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	120							2		
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	121							2		
14	14	83/2	83/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	122							2		
14	14	167/4	167/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	123							2		
14	14	39	39	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	124									
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	125									
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	126									
14	14	41	41	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	127									
15	15	42	42	0.0	0	0	Dynamic	6/8	1	1	0					p								
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	128									
15	15	43	43	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	129									
15	15	173/4	173/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	130									
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	131									
15	15	89/2	89/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	132									
15	15	179/4	179/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	133									
15	15	42	42	0.0	0	0	Spanner	6/8	1	2	0													
15	15	42	42	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	134									
15	15	42	42	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	135									
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	136									
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	137									
15	15	44	44	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	138									
16	16	45	45	0.0	0	0	StaffText	6/8	1	1	0							dimin.						
16	16	45	45	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	139									
16	16	45	45	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	140									
16	16	46	46	0.25	1/4	1/4	Chord	6/8	1	2	1/16		1/16	1	141									
16	16	185/4	185/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16		1/16	1	142									
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	143									
16	16	95/2	95/2	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	144									
16	16	191/4	191/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	145									
16	16	45	45	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	146									
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	147									
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	148									
16	16	47	47	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	149									
17	17	48	48	0.0	0	0	Dynamic	6/8	1	1	0					fz								
17	17	48	48	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	150									
17	17	49	49	0.0	1/4	1/4	Spanner	6/8	1	1	0											3		
17	17	49	49	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	151							3		
17	17	197/4	197/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	152							3		
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	153							3		
17	17	101/2	101/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	154							3		
17	17	203/4	203/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	155							3		
17	17	48	48	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	156							3		
17	17	48	48	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	157									
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	158									
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	159									
17	17	50	50	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	160									
18	18	51	51	0.0	0	0	Dynamic	6/8	1	1	0					p								
18	18	51	51	0.0	0	0	Spanner	6/8	1	1	0													
18	18	51	51	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	161									
18	18	105/2	105/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	162									
18	18	107/2	107/2	0.0	5/8	5/8	Spanner	6/8	1	1	0											4		
18	18	107/2	107/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	163							4		
18	18	215/4	215/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	164							4		
18	18	51	51	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	165									
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	166									
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	167									
18	18	53	53	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	168									
19	19	54	54	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	169							4		
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	170							4		
19	19	113/2	113/2	0.0	5/8	5/8	Spanner	6/8	1	1	0													
19	19	113/2	113/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	171									
19	19	227/4	227/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	172									
19	19	54	54	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	173									
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	174									
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	175									
19	19	56	56	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	176									
20	20	57	57	0.0	0	0	Dynamic	6/8	1	1	0					pp								
20	20	57	57	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	177									
20	20	57	57	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	178									
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	179									
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	180									
20	20	59	59	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	181									
21	21	60	60	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	182									
21	21	60	60	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	183									
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	184									
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	185									
22	22	63	63	0.0	0	0	Dynamic	6/8	1	1	0					pp								
22	22	63	63	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	186				7					
22	22	129/2	129/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	187				7					
22	22	261/4	261/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	188				7					
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	189				7					
22	22	127/2	127/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	190									
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	191									
22	22	127/2	127/2	1.0	1/8	1/8	Chord	6/8	2	2	1/4		1/4	1	192									
22	22	129/2	129/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	193									
23	23	66	66	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	194				7					
23	23	135/2	135/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	195									
23	23	137/2	137/2	0.16666666666666666	5/8	5/8	Chord	6/8	1	1	1/24		1/16	2/3	196				8					
23	23	206/3	206/3	0.16666666666666666	2/3	2/3	Chord	6/8	1	1	1/24		1/16	2/3	197				8					
23	23	413/6	413/6	0.16666666666666666	17/24	17/24	Chord	6/8	1	1	1/24		1/16	2/3	198									
23	23	133/2	133/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	199									
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	200									
23	23	133/2	133/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	201									
23	23	135/2	135/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	202									
24	24	69	69	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	203									
24	24	70	70	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	204									
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	205									
24	24	71	71	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	206									
24	24	287/4	287/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	207									
24	24	139/2	139/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	208									
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	209									
24	24	139/2	139/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	210									
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	211									
25	25	72	72	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	212									
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	213									
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	214									
25	25	145/2	145/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	215									
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	216									
25	25	145/2	145/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	217									
25	25	147/2	147/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	218									
26	26	75	75	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	219									
26	26	153/2	153/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	220				9					
26	26	77	77	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	221				9					
26	26	311/4	311/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	222									
26	26	151/2	151/2	0.0	1/8	1/8	Spanner	6/8	1	2	0												2	
26	26	151/2	151/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	223								2	
26	26	151/2	151/2	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	224									
27	27	78	78	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	225									
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	226									
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	227									
27	27	78	78	0.0	0	0	Spanner	6/8	1	2	0													
27	27	625/8	625/8	0.0	1/32	1/32	Spanner	6/8	2	1	0												3	
27	27	625/8	625/8	0.0	1/32	1/32	Spanner	6/8	2	1	0									0	0		3	
27	27	625/8	625/8	0.125	1/32	1/32	Chord	6/8	2	1	1/32		1/32	1	228				10	0	0		3	
27	27	313/4	313/4	0.125	1/16	1/16	Chord	6/8	2	1	1/32		1/32	1	229				10	0	0		3	
27	27	627/8	627/8	0.125	3/32	3/32	Chord	6/8	2	1	1/32		1/32	1	230				10	0	0		3	
27	27	157/2	157/2	0.125	1/8	1/8	Chord	6/8	2	1	1/32		1/32	1	231				10	0	0		3	
27	27	629/8	629/8	0.125	5/32	5/32	Chord	6/8	2	1	1/32		1/32	1	232				10	0	0		3	
27	27	315/4	315/4	0.125	3/16	3/16	Chord	6/8	2	1	1/32		1/32	1	233				10	0	0		3	
27	27	631/8	631/8	0.125	7/32	7/32	Chord	6/8	2	1	1/32		1/32	1	234				10	0	0		3	
27	27	79	79	0.125	1/4	1/4	Chord	6/8	2	1	1/32		1/32	1	235				10	0	0		3	
27	27	633/8	633/8	0.125	9/32	9/32	Chord	6/8	2	1	1/32		1/32	1	236					0	0		3	
28	28	81	81	0.0	0	0	Dynamic	6/8	1	1	0					f								
28	28	81	81	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	237									
28	28	82	82	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	238									
28	28	329/4	329/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	239									
28	28	165/2	165/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	240									
28	28	167/2	167/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	241									
28	28	335/4	335/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	242									
28	28	81	81	0.0	0	0	Spanner	6/8	2	1	0													
28	28	81	81	0.0	0	0	Spanner	6/8	2	1	0													
28	28	649/8	649/8	0.0	1/32	1/32	Spanner	6/8	2	1	0												4	
28	28	649/8	649/8	0.0	1/32	1/32	Spanner	6/8	2	1	0									1	1		4	
28	28	649/8	649/8	0.125	1/32	1/32	Chord	6/8	2	1	1/32		1/32	1	243				11	1	1		4	
28	28	325/4	325/4	0.125	1/16	1/16	Chord	6/8	2	1	1/32		1/32	1	244				11	1	1		4	
28	28	651/8	651/8	0.125	3/32	3/32	Chord	6/8	2	1	1/32		1/32	1	245				11	1	1		4	
28	28	163/2	163/2	0.125	1/8	1/8	Chord	6/8	2	1	1/32		1/32	1	246				11	1	1		4	
28	28	653/8	653/8	0.125	5/32	5/32	Chord	6/8	2	1	1/32		1/32	1	247				11	1	1		4	
28	28	327/4	327/4	0.125	3/16	3/16	Chord	6/8	2	1	1/32		1/32	1	248				11	1	1		4	
28	28	655/8	655/8	0.125	7/32	7/32	Chord	6/8	2	1	1/32		1/32	1	249				11	1	1		4	
28	28	82	82	0.125	1/4	1/4	Chord	6/8	2	1	1/32		1/32	1	250				11	1	1		4	
28	28	657/8	657/8	0.125	9/32	9/32	Chord	6/8	2	1	1/32		1/32	1	251					1	1		4	
28	28	329/4	329/4	0.0	5/16	5/16	Spanner	6/8	2	1	0									1	1			
29	29	84	84	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	252									
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	253									
