mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							Allegro		
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					ff				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	1					
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	2					
1	1	1	1	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	3					
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	4					
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	5		articAccentBelow			
2	2	2	2	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	6					
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	7					
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	8					
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	9					
3	3	5	5	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	10					
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	11					
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	12		articAccentBelow			
4	4	6	6	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	13					
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	14					
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15					
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	16					
5	5	9	9	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	17					
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	18					
6	6	21/2	21/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	19		articAccentBelow			
6	6	10	10	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	20					
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	21					
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	22					
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	23					
7	7	13	13	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	24					
7	7	55/4	55/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	25					
8	8	29/2	29/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	26		articAccentAbove			
8	8	14	14	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	27					
9	9	16	16	0.0	0	0	Dynamic	2/4	1	1	0					p				
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	28				0	
9	9	17	17	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	29				0	
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	30				0	
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	31					
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	32					
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	33				1	
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	34				1	
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	35					
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	36				2	
9	9	35/2	35/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	37				2	
9	9	71/4	71/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	38					
10	10	18	18	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	39					
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	40					
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	41					
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	42				3	
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	43				3	
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	44					
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45				4	
10	10	39/2	39/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	46				4	
10	10	79/4	79/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	47					
11	11	20	20	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	48				5	
11	11	21	21	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	49				5	
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	50				5	
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	51					
