mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	52					
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	53				6	
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	54				6	
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	55					
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	56				7	
11	11	43/2	43/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	57				7	
11	11	87/4	87/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	58					
12	12	22	22	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	59					
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	60					
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	61					
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	62				8	
12	12	45/2	45/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	63				8	
12	12	91/4	91/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	64					
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	65				9	
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	66				9	
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	67					
13	13	24	24	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	68				10	
13	13	25	25	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	69				10	
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	70				10	
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	71					
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	72					
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	73				11	
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	74				11	
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	75					
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	76				12	
13	13	51/2	51/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	77				12	
13	13	103/4	103/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	78					
14	14	26	26	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	79				10	
14	14	27	27	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	80				10	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	81					
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	82					
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	83					
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	84				13	
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	85				13	
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	86					
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	87				14	
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	88				14	
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	89					
15	15	28	28	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	90				15	
15	15	29	29	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	91				15	
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	92				15	
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	93					
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	94					
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	95				16	
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	96				16	
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	97					
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	98				17	
15	15	59/2	59/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	99				17	
15	15	119/4	119/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	100					
16	16	30	30	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	101					
16	16	30	30	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	102					
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	103				18	
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	104				18	
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	105					
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	106				19	
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	107				19	
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	108					
17	17	32	32	0.0	0	0	Dynamic	2/4	1	1	0					pp				
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	109				20	
17	17	33	33	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	110				20	
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	111				20	
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	112					
17	17	67/2	67/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	113					
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	114				21	
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	115				21	
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	116					
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	117				22	
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	118				22	
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	119					
18	18	34	34	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	120					
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	121					
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	122					
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	123				23	
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	124				23	
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	125					
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	126				24	
18	18	71/2	71/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	127				24	
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	128					
19	19	36	36	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	129				25	
19	19	37	37	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	130				25	
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	131				25	
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	132					
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	133					
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	134				26	
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	135				26	
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	136					
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	137				27	
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	138				27	
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	139					
20	20	38	38	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	140					
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	141					
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	142					
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	143				28	
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	144				28	
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	145					
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	146				29	
20	20	79/2	79/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	147				29	
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	148					
21	21	40	40	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	149				30	
21	21	41	41	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	150				30	
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	151				30	
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	152					
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	153					
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	154				31	
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	155				31	
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	156					
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	157				32	
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	158				32	
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	159					
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	160				30	
22	22	43	43	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	161				30	
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	162					
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	163					
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	164					
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	165				33	
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	166				33	
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	167					
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	168				34	
22	22	87/2	87/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	169				34	
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	170					
23	23	44	44	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	171				35	
23	23	45	45	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	172				35	
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	173				35	
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	174					
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	175					
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	176				36	
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	177				36	
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	178					
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	179				37	
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	180				37	
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	181					
24	24	46	46	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	182					
24	24	46	46	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	183					
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	184				38	
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	185				38	
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	186					
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	187				39	
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	188				39	
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	189					
25	25	48	48	0.0	0	0	Dynamic	2/4	1	1	0					pp				
25	25	48	48	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	190				40	
25	25	49	49	0.0	1/4	1/4	StaffText	2/4	1	1	0							cresc.	40	
25	25	49	49	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	191				40	
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	192				40	
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	193					
25	25	48	48	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	194					
25	25	49	49	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	195					
25	25	48	48	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	196				41	
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	197				41	
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	198				41	
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	199				41	
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	200				41	
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	201					
26	26	50	50	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	202					
26	26	50	50	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	203					
26	26	51	51	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	204					
26	26	50	50	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	205				42	
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	206				42	
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	207				42	
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	208				42	
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	209				42	
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	210					
27	27	52	52	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	211				43	
27	27	53	53	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	212				43	
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	213				43	
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	214					
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	215					
27	27	52	52	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	216					
27	27	53	53	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	217					
27	27	52	52	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	218				44	
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	219				44	
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	220				44	
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	221				44	
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	222				44	
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	223					
28	28	54	54	0.0	0	0	Dynamic	2/4	1	1	0					f				
28	28	54	54	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	224					
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	225					
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	226					
28	28	54	54	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	227					
28	28	55	55	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	228					
28	28	54	54	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	229				45	
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	230				45	
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	231				45	
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	232				45	
28	28	111/2	111/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	233				45	
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	234					
29	29	56	56	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	235				46	
29	29	57	57	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	236				46	
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	237				46	
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	238					
29	29	56	56	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	239					
29	29	57	57	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	240					
29	29	56	56	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	241				47	
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	242				47	
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	243				47	
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	244				47	
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	245				47	
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	246					
30	30	58	58	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	247				46	
30	30	59	59	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	248				46	
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	249				46	
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	250					
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	251					
30	30	58	58	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	252					
30	30	59	59	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	253					
30	30	58	58	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	254				48	
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	255				48	
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	256				48	
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	257				48	
30	30	119/2	119/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	258				48	
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	259					
31	31	60	60	0.0	0	0	StaffText	2/4	1	1	0							dim. e ritard.		
31	31	60	60	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	260				49	
31	31	61	61	0.0	1/4	1/4	Spanner	2/4	1	1	0								49	0
31	31	61	61	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	261				49	0
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	262				49	0
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	263					0
31	31	60	60	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	264					
31	31	61	61	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	265					
31	31	60	60	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	266				50	
31	31	121/2	121/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	267				50	
31	31	243/4	243/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	268				50	
31	31	61	61	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	269				50	
31	31	123/2	123/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	270				50	
31	31	247/4	247/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	271					
32	32	62	62	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	272				49	0
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	273					0
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	274					0
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	275					0
32	32	62	62	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	276					
32	32	63	63	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	277					
32	32	62	62	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	278				51	
32	32	125/2	125/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	279				51	
32	32	251/4	251/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	280				51	
