mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0				p					
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0						Allegro			
1	1	0	0	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	0		articStaccatoAbove				
1	1	1	1	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	1		articStaccatoAbove				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	2		articStaccatoAbove				
1	1	2	2	0.0	1/2	1/2	Dynamic	6/8	1	1	0				sfz					
1	1	2	2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	3		articMarcatoAbove				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	4		articStaccatoAbove				
1	1	0	0	0.25	0	0	Chord	6/8	2	1	1/16	1/16	1	5				0		
1	1	1/4	1/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16	1/16	1	6				0		
1	1	1/2	1/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16	1/16	1	7				0		
1	1	3/4	3/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	8				0		
1	1	1	1	0.25	1/4	1/4	Chord	6/8	2	1	1/16	1/16	1	9				0		
1	1	5/4	5/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16	1/16	1	10				0		
1	1	3/2	3/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16	1/16	1	11				0		
1	1	7/4	7/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16	1/16	1	12				0		
1	1	2	2	0.25	1/2	1/2	Chord	6/8	2	1	1/16	1/16	1	13				0		
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16	1/16	1	14				0		
