mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	decrescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	17		articAccentAbove						
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	18					0			
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	19		articAccentAbove			0			
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	20		articAccentAbove			0			
4	4	6	6	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	21								
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	22								
4	4	13/2	13/2	0.75	1/8	1/8	Chord	2/4	2	1	3/16	1/8	3/2	23		articAccentAbove						
4	4	29/4	29/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	24								
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	25		articAccentAbove						
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	26					0			
5	5	17/2	17/2	0.0	1/8	1/8	Spanner	2/4	1	1	0											
5	5	17/2	17/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	27		articAccentAbove						
5	5	19/2	19/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0				fp							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	28		articAccentAbove		0				
5	5	8	8	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	29								
5	5	33/4	33/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	30								
5	5	17/2	17/2	0.0	1/8	1/8	Spanner	2/4	2	1	0										0	0
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	31		articAccentAbove					0	0
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	32							0	0
5	5	19/2	19/2	0.0	3/8	3/8	Spanner	2/4	2	1	0											
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	33		articAccentBelow		1				
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	34								
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	35				2				
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	36				2				
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	37								
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	38		articAccentAbove		3				
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	39								
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	40		articStaccatoAbove						
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	41		articStaccatoAbove						
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	42		articAccentBelow		4				
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	43								
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	44				5				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	45				5				
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	46								
7	7	27/2	27/2	0.0	3/8	3/8	Spanner	2/4	1	1	0								1			
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	47				6	1			
7	7	12	12	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	48								
7	7	25/2	25/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	49		articStaccatoAbove						
7	7	13	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	50		articStaccatoAbove						
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	51				7				
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	52				6	1			
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	53				6	1			
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	54				6	1			
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	55				6	1			
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	56				6	1			
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	57				7				
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	58				7				
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	59				7				
8	8	31/2	31/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	60				7				
8	8	63/4	63/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	61				7				
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0											
9	9	16	16	0.0	0	0	Spanner	2/4	1	1	0									0		
9	9	16	16	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	62						0		
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	63		articAccentAbove		8		0		
9	9	16	16	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	64								
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	65				9				
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	66				9				
9	9	17	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	67								
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	68		articAccentBelow		10				
10	10	18	18	0.0	0	0	Spanner	2/4	1	1	0											
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	69								
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	70				11				
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	71				11				
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	72								
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	73		articAccentAbove		12				
10	10	18	18	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	74								
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	75		articStaccatoAbove						
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	76		articStaccatoAbove						
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	77		articAccentBelow		13				
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	78								
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	79				14				
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	80				14				
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	81								
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	82				15				
11	11	20	20	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	83								
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	84		articStaccatoAbove						
11	11	21	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	85		articStaccatoBelow						
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	86				16				
12	12	22	22	0.0	0	0	Spanner	2/4	1	1	0							15	2			
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	87				15	2			
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	88				15	2			
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	89				15	2			
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	90				15	2			
12	12	22	22	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	91				16				
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	92				16				
12	12	23	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	93				16				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	94				16				
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0											
13	13	24	24	0.0	0	0	Spanner	2/4	1	1	0									1		
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	95						1		
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	96				17		1		
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	97						1		
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	98				18		1		
13	13	24	24	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	99								
13	13	49/2	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	100								
13	13	25	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	101								
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	102				19				
14	14	26	26	0.0	0	0	Spanner	2/4	1	1	0											
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	103								
14	14	53/2	53/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	104				20				
14	14	107/4	107/4	0.0	3/16	3/16	Dynamic	2/4	1	1	0				pp			20				
14	14	107/4	107/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	105				20				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	106								
14	14	55/2	55/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0				fp							
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	107		articAccentAbove		21				
14	14	26	26	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	108								
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	109				22				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	110								
14	14	26	26	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	111								
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	112								
14	14	27	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	113								
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	114		articAccentBelow		23				
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	115								
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	116				24				
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	117				24				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	118								
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	119		articAccentAbove		25				
15	15	28	28	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	120								
15	15	57/2	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	121		articStaccatoAbove						
15	15	29	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	122		articStaccatoAbove						
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	123		articAccentBelow		26				
16	16	30	30	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	124								
16	16	61/2	61/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	125				27				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	126				27				
16	16	31	31	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	127								
16	16	63/2	63/2	0.0	3/8	3/8	Spanner	2/4	1	1	0								3			
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	128				28	3			
16	16	30	30	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	129								
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	130		articStaccatoAbove						
16	16	31	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	131		articStaccatoAbove						
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	132				29				
17	17	32	32	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	133				28	3			
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	134				28	3			
17	17	33	33	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	135				28	3			
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	136				28	3			
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	137				28	3			
17	17	32	32	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	138				29				
17	17	65/2	65/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	139				29				
17	17	33	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	140				29				
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	141				29				
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	142				29				
18	18	34	34	0.0	0	0	Spanner	2/4	1	1	0									2		
18	18	34	34	0.0	0	0	Spanner	2/4	1	1	0									2		
18	18	34	34	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	143						2		
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	144		articAccentAbove		30		2		
18	18	34	34	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	145								
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	146				31				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	147				31				
18	18	35	35	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	148								
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	149		articAccentBelow		32				
19	19	36	36	0.0	0	0	Spanner	2/4	1	1	0											
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	150								
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	151				33				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	152				33				
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	153								
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	154		articAccentAbove		34				
19	19	36	36	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	155								
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	156		articStaccatoAbove						
19	19	37	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	157		articStaccatoBelow						
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	158		articAccentBelow		35				
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	159								
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	160				36				
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	161				36				
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	162								
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	163				37				
20	20	38	38	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	164								
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	165		articStaccatoAbove						
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	166		articStaccatoAbove						
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	167				38				
21	21	40	40	0.0	0	0	Spanner	2/4	1	1	0							37	4			
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	168				37	4			
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	169				37	4			
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	170				37	4			
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	171				37	4			
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	172				38				
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	173				38				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	174				38				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	175				38				
22	22	42	42	0.0	0	0	Spanner	2/4	1	1	0											
22	22	42	42	0.0	0	0	Spanner	2/4	1	1	0									3		
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	176						3		
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	177				39		3		
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	178						3		
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	179				40		3		
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	180								
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	181								
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	182								
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	183				41				
23	23	44	44	0.0	0	0	Spanner	2/4	1	1	0											
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	184								
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	185				42				
23	23	179/4	179/4	0.0	3/16	3/16	Dynamic	2/4	1	1	0				pp			42				
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	186				42				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	187								
23	23	91/2	91/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0				f							
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	188		articAccentAbove						
23	23	44	44	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	189								
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	190				43				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	191								
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	192								
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	193								
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	194								
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	195								
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	196		articAccentBelow						
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	197		articAccentAbove						
24	24	93/2	93/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0				p							
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	198		articStaccatoAbove						
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	199		articStaccatoAbove						
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	200		articStaccatoAbove						
24	24	46	46	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	201								
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	202				44				
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	203				44				
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	204								
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	205								
24	24	46	46	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	206		articAccentAbove						
24	24	93/2	93/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	207				45				
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	208				45				
24	24	47	47	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	209				45				
24	24	189/4	189/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	210				45				
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	211				45				
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	212				45				
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	213		articStaccatoAbove						
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	214		articStaccatoAbove						
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	215		articStaccatoAbove						
25	25	99/2	99/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0				ff							
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	216		articAccentAbove						
25	25	48	48	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	217								
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	218								
25	25	49	49	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	219								
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	220								
25	25	48	48	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	221				45				
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	222				45				
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	223				45				
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	224				45				
25	25	49	49	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	225				45				
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	226								
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	227		articAccentAbove						
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	228		articAccentAbove						
26	26	101/2	101/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0				p							
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	229		articStaccatoAbove						
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	230		articStaccatoAbove						
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	231		articStaccatoAbove						
26	26	50	50	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	232								
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	233				46				
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	234				46				
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	235								
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	236								
26	26	50	50	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	237		articAccentAbove						
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	238				47				
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	239				47				
26	26	51	51	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	240				47				
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	241				47				
26	26	103/2	103/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	242				47				
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	243				47				
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	244		articStaccatoAbove						
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	245		articStaccatoAbove						
27	27	53	53	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	246		articStaccatoAbove						
27	27	107/2	107/2	0.0	3/8	3/8	Dynamic	2/4	1	1	0				f							
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	247		articAccentAbove						
27	27	52	52	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	248								
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	249								
