mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
3	2	15/4	15/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	19				0			
3	2	4	4	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	20				0			
3	2	17/4	17/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	21				0			
3	2	9/2	9/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	22				0			
3	2	19/4	19/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	23				0			
3	2	5	5	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	24				0			
3	2	21/4	21/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	25				0			
3	2	11/2	11/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	26				0			
3	2	23/4	23/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	27				0			
3	2	6	6	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	28				0			
3	2	25/4	25/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	29							
3	2	7/2	7/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	30				1			
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	31				1			
3	2	5	5	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	32				1			
3	2	6	6	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	33				1			
4	3	13/2	13/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	34				2			
4	3	27/4	27/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	35				2			
4	3	7	7	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	36				2			
4	3	29/4	29/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	37				2			
4	3	15/2	15/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	38				2			
4	3	31/4	31/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	39				2			
4	3	8	8	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	40				2			
4	3	33/4	33/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	41				2			
4	3	17/2	17/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	42				2			
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	43				2			
4	3	9	9	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	44				2			
4	3	37/4	37/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	45							
4	3	13/2	13/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	46							
4	3	7	7	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	47		articAccentAbove					
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	48		articAccentAbove					
4	3	8	8	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	49		articAccentAbove					
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	50		articAccentAbove					
4	3	9	9	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	51		articAccentAbove					
5	4	19/2	19/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	52				3			
5	4	39/4	39/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	53				3			
5	4	10	10	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	54				3			
5	4	41/4	41/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	55				3			
5	4	21/2	21/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	56				3			
5	4	43/4	43/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	57				3			
5	4	11	11	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	58				3			
5	4	45/4	45/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	59				3			
5	4	23/2	23/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	60				3			
5	4	47/4	47/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	61				3			
5	4	12	12	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	62				3			
5	4	49/4	49/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	63							
5	4	19/2	19/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	64		articAccentAbove					
5	4	10	10	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	65		articAccentAbove					
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	66		articAccentAbove					
5	4	11	11	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	67		articAccentAbove					
5	4	23/2	23/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	68		articAccentAbove					
5	4	12	12	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	69		articAccentAbove					
6	5	25/2	25/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	70				4			
6	5	51/4	51/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	71				4			
6	5	13	13	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	72				4			
6	5	53/4	53/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	73				4			
6	5	27/2	27/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	74				4			
6	5	55/4	55/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	75				4			
6	5	14	14	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	76				4			
6	5	57/4	57/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	77				4			
6	5	29/2	29/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	78				4			
6	5	59/4	59/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	79				4			
6	5	15	15	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	80				4			
6	5	61/4	61/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	81							
6	5	25/2	25/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	82		articAccentBelow					
6	5	13	13	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	83		articAccentBelow					
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	84		articAccentBelow					
6	5	14	14	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	85		articAccentBelow					
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	86		articAccentBelow					
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	87		articAccentBelow					
7	6	31/2	31/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	88				5			
7	6	63/4	63/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	89				5			
7	6	16	16	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	90				5			
7	6	65/4	65/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	91				5			
7	6	33/2	33/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	92				5			
7	6	67/4	67/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	93				5			
7	6	17	17	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	94				5			
7	6	69/4	69/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	95				5			
7	6	35/2	35/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	96				5			
7	6	71/4	71/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	97				5			
7	6	18	18	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	98				5			
7	6	73/4	73/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	99							
7	6	31/2	31/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	100		articAccentBelow					
7	6	16	16	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	101		articAccentBelow					
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	102		articAccentBelow					
7	6	17	17	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	103		articAccentBelow					
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	104		articAccentBelow					
7	6	18	18	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	105		articAccentBelow					
8	7	37/2	37/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	106				6			
8	7	75/4	75/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	107				6			
8	7	19	19	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	108				6			
8	7	77/4	77/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	109				6			
8	7	39/2	39/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	110				6			
8	7	79/4	79/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	111				6			
8	7	20	20	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	112				6			
8	7	81/4	81/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	113				6			
8	7	41/2	41/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	114				6			
8	7	83/4	83/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	115				6			
8	7	21	21	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	116				6			
8	7	85/4	85/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	117				6			
8	7	37/2	37/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	118		articAccentAbove					
8	7	19	19	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	119		articAccentAbove					
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	120		articAccentAbove					
8	7	20	20	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	121		articAccentAbove					
8	7	41/2	41/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	122		articAccentAbove					
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	123		articAccentAbove					
9	8	43/2	43/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	124				6			
9	8	87/4	87/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	125				6			
9	8	22	22	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	126				6			
9	8	89/4	89/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	127				6			
9	8	45/2	45/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	128				6			
9	8	91/4	91/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	129							
9	8	23	23	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	130				7			
9	8	93/4	93/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	131				7			
9	8	47/2	47/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	132				7			
9	8	95/4	95/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	133				7			
9	8	24	24	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	134				7			
9	8	97/4	97/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	135				7			
9	8	43/2	43/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	136		articAccentAbove					
9	8	22	22	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	137		articAccentAbove					
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	138		articAccentAbove					
9	8	23	23	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	139		articAccentBelow					
9	8	47/2	47/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	140		articAccentBelow					
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	141		articAccentBelow					
10	9	49/2	49/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	142		articAccentAbove		7			
10	9	99/4	99/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	143				7			
10	9	25	25	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	144				7			
10	9	101/4	101/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	145				7			
10	9	51/2	51/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	146		articAccentAbove		7			
10	9	103/4	103/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	147				7			
10	9	26	26	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	148				7			
10	9	105/4	105/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	149				7			
10	9	53/2	53/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	150		articAccentBelow		7			
10	9	107/4	107/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	151				7			
10	9	27	27	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	152				7			
10	9	109/4	109/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	153				7			
10	9	49/2	49/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	154		articAccentBelow					
10	9	25	25	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	155							
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	156		articAccentBelow					
10	9	26	26	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	157							
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	158		articAccentAbove					
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	159							
11	10	55/2	55/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	160		articAccentBelow		7			
11	10	111/4	111/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	161				7			
11	10	28	28	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	162				7			
11	10	113/4	113/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	163				7			
11	10	57/2	57/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	164		articAccentBelow		7			
11	10	115/4	115/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	165				7			
11	10	29	29	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	166				7			
11	10	117/4	117/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	167				7			
11	10	59/2	59/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	168		articAccentBelow		7			
11	10	119/4	119/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	169				7			
11	10	30	30	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	170				7			
11	10	121/4	121/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	171				7			
11	10	55/2	55/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	172		articAccentAbove					
11	10	28	28	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	173							
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	174		articAccentAbove					
11	10	29	29	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	175							
11	10	59/2	59/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	176		articAccentAbove					
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	177							
12	11	61/2	61/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	178		articAccentBelow					
12	11	32	32	0.0	3/8	3/8	Dynamic	6/8	1	1	0					ff						
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	179		articAccentAbove					
12	11	61/2	61/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	180		articAccentBelow					
12	11	32	32	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	181		articAccentAbove					
13	12	67/2	67/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	182		articAccentBelow					
13	12	35	35	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	183		articAccentAbove					
13	12	67/2	67/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	184		articAccentBelow					
13	12	35	35	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	185		articAccentAbove					
14	13	73/2	73/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	186		articAccentBelow					
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	187		articAccentAbove					
14	13	73/2	73/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	188		articAccentBelow					
14	13	38	38	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	189		articAccentBelow					
15	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	190		articAccentBelow					
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	1	1	0									0		
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	191		articAccentAbove			0		
15	14	83/2	83/2	0.0	1/2	1/2	Spanner	6/8	1	1	0											
15	14	79/2	79/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	192		articAccentBelow					
15	14	41	41	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	193		articAccentBelow					
16	15	45	45	0.0	5/8	5/8	Dynamic	6/8	1	1	0					f						
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	194		articStaccatoAbove					
17	16	91/2	91/2	0.0	0	0	StaffText	6/8	1	1	0							secco				
17	16	91/2	91/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	195		articStaccatoAbove					
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	196		articStaccatoAbove					
17	16	47	47	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	197		articStaccatoAbove					
17	16	95/2	95/2	0.0	1/2	1/2	Spanner	6/8	1	1	0											0
17	16	48	48	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	198		articStaccatoAbove					0
17	16	91/2	91/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	199							
17	16	46	46	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	200							
17	16	95/2	95/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	201							
18	17	97/2	97/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	202		articStaccatoAbove					0
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	203		articStaccatoAbove					0
18	17	50	50	0.0	3/8	3/8	Spanner	6/8	1	1	0											
18	17	50	50	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	204		articStaccatoAbove					
18	17	51	51	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	205		articStaccatoAbove					
18	17	97/2	97/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	206							
18	17	49	49	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	207							
18	17	101/2	101/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	208							
19	18	103/2	103/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	209		articStaccatoAbove					
19	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	210		articStaccatoAbove					
19	18	53	53	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	211		articStaccatoAbove					
19	18	54	54	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	212		articStaccatoAbove					
19	18	103/2	103/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	213							
19	18	52	52	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	214							
19	18	107/2	107/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	215							
20	19	109/2	109/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	216		articStaccatoAbove					
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	217		articStaccatoAbove					
20	19	56	56	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	218		articStaccatoAbove					
20	19	57	57	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	219		articStaccatoAbove					
20	19	109/2	109/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	220							
20	19	55	55	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	221							
20	19	113/2	113/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	222							
21	20	115/2	115/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	223		articStaccatoAbove					
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	224		articStaccatoAbove					
21	20	59	59	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	225		articStaccatoAbove					
21	20	119/2	119/2	0.0	1/2	1/2	Spanner	6/8	1	1	0											1
21	20	60	60	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	226		articStaccatoAbove					1
21	20	115/2	115/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	227							
21	20	58	58	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	228							
21	20	119/2	119/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	229							
22	21	121/2	121/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	230		articStaccatoAbove					1
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	231		articStaccatoAbove					1
22	21	62	62	0.0	3/8	3/8	Spanner	6/8	1	1	0											
22	21	62	62	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	232		articStaccatoAbove					
22	21	63	63	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	233		articStaccatoAbove					
22	21	121/2	121/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	234							
22	21	61	61	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	235							
22	21	125/2	125/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	236							
23	22	127/2	127/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	237		articStaccatoAbove					
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	238		articStaccatoAbove					
23	22	65	65	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	239		articStaccatoAbove					
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	240		articStaccatoAbove					
23	22	127/2	127/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	241							
23	22	64	64	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	242							
23	22	131/2	131/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	243							
24	23	133/2	133/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	244		articStaccatoAbove					
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	245		articStaccatoAbove					
24	23	68	68	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	246		articStaccatoAbove					
24	23	69	69	0.0	5/8	5/8	Dynamic	6/8	1	1	0					pp						
24	23	69	69	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	247		articStaccatoAbove					
24	23	133/2	133/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	248							
24	23	67	67	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	249							
24	23	137/2	137/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	250							
25	24	139/2	139/2	0.0	0	0	StaffText	6/8	1	1	0							secco				
25	24	139/2	139/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	251		articStaccatoAbove					
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	252		articStaccatoAbove					
25	24	71	71	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	253		articStaccatoAbove					
25	24	72	72	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	254		articStaccatoAbove					
25	24	139/2	139/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	255							
25	24	70	70	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	256							
25	24	143/2	143/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	257							
