mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	5	2/4	1/2	0	2	firstMeasure					2
2	2	5	2/4	1/2	0	2						3
3	3	5	2/4	1/2	0	2						4
4	4	5	2/4	1/2	0	2						5
5	5	5	2/4	1/2	0	2						6
6	6	5	2/4	1/2	0	2						7
7	7	5	2/4	1/2	0	2						8
8	8	5	2/4	1/2	0	2						9
9	9	5	2/4	1/2	0	3						10
10	10	5	2/4	1/2	0	3						11
11	11	5	2/4	1/2	0	3						12
12	12	5	2/4	1/2	0	3						13
13	13	5	2/4	1/2	0	3						14
14	14	5	2/4	1/2	0	3						15
15	15	5	2/4	1/2	0	3						16
16	16	5	2/4	1/2	0	2						17
17	17	5	2/4	1/2	0	3						18
18	18	5	2/4	1/2	0	3						19
19	19	5	2/4	1/2	0	3						20
20	20	5	2/4	1/2	0	3						21
21	21	5	2/4	1/2	0	3						22
22	22	5	2/4	1/2	0	3						23
23	23	5	2/4	1/2	0	3						24
24	24	5	2/4	1/2	0	2						25
25	25	5	2/4	1/2	0	4						26
26	26	5	2/4	1/2	0	3						27
27	27	5	2/4	1/2	0	4						28
28	28	5	2/4	1/2	0	4						29
29	29	5	2/4	1/2	0	4						30
30	30	5	2/4	1/2	0	4						31
31	31	5	2/4	1/2	0	4						32
32	32	5	2/4	1/2	0	4						33
33	33	5	2/4	1/2	0	3						34
34	34	5	2/4	1/2	0	3						35
35	35	5	2/4	1/2	0	3						36
36	36	5	2/4	1/2	0	3						37
37	37	5	2/4	1/2	0	3						38
38	38	5	2/4	1/2	0	3						39
39	39	5	2/4	1/2	0	3						40
40	40	5	2/4	1/2	0	2						41
41	41	5	2/4	1/2	0	3						42
42	42	5	2/4	1/2	0	2						43
43	43	5	2/4	1/2	0	2						44
44	44	5	2/4	1/2	0	2						45
45	45	5	2/4	1/2	0	2						46
46	46	5	2/4	1/2	0	2						47
47	47	5	2/4	1/2	0	2						48
48	48	5	2/4	1/2	0	2						49
49	49	5	2/4	1/2	0	2						50
50	50	5	2/4	1/2	0	2						51
51	51	5	2/4	1/2	0	2						52
52	52	5	2/4	1/2	0	2						53
53	53	5	2/4	1/2	0	2						54
54	54	5	2/4	1/2	0	2						55
55	55	5	2/4	1/2	0	2						56
56	56	5	2/4	1/2	0	2						57
57	57	5	2/4	1/2	0	2						58
58	58	5	2/4	1/2	0	2						59
59	59	5	2/4	1/2	0	2						60
60	60	5	2/4	1/2	0	2						61
61	61	5	2/4	1/2	0	2	lastMeasure		end			-1
