mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	6/8	3/4	0	2	firstMeasure					2
2	2	1	6/8	3/4	0	2						3
3	3	1	6/8	3/4	0	2						4
4	4	1	6/8	3/4	0	2						5
5	5	1	6/8	3/4	0	2						6
6	6	1	6/8	3/4	0	2						7
7	7	1	6/8	3/4	0	2						8
8	8	1	6/8	3/4	0	3						9
9	9	1	6/8	3/4	0	2						10
10	10	1	6/8	3/4	0	2						11
11	11	1	6/8	3/4	0	2						12
12	12	1	6/8	3/4	0	2						13
13	13	1	6/8	3/4	0	2						14
14	14	1	6/8	3/4	0	2						15
15	15	1	6/8	3/4	0	3						16
16	16	1	6/8	3/4	0	3						17
17	17	1	6/8	3/4	0	2						18
18	18	1	6/8	3/4	0	3						19
19	19	1	6/8	3/4	0	3						20
20	20	1	6/8	3/4	0	3						21
21	21	1	6/8	3/4	0	2						22
22	22	1	6/8	3/4	0	3						23
23	23	1	6/8	3/4	0	2						24
24	24	1	6/8	3/4	0	3						25
25	25	1	6/8	3/4	0	3						26
26	26	1	6/8	3/4	0	2						27
27	27	1	6/8	3/4	0	3						28
28	28	1	6/8	3/4	0	3						29
29	29	1	6/8	3/4	0	3						30
30	30	1	6/8	3/4	0	3						31
31	31	1	6/8	3/4	0	3						32
32	32	1	6/8	3/4	0	3						33
33	33	1	6/8	3/4	0	3						34
34	34	1	6/8	3/4	0	3						35
35	35	1	6/8	3/4	0	4						36
36	36	1	6/8	3/4	0	3						37
37	37	1	6/8	3/4	0	3						38
38	38	1	6/8	3/4	0	3						39
39	39	1	6/8	3/4	0	3						40
40	40	1	6/8	3/4	0	3						41
41	41	1	6/8	3/4	0	4						42
42	42	1	6/8	3/4	0	4						43
43	43	1	6/8	3/4	0	3						44
44	44	1	6/8	3/4	0	3						45
45	45	1	6/8	3/4	0	3						46
46	46	1	6/8	3/4	0	3						47
47	47	1	6/8	3/4	0	3						48
48	48	1	6/8	3/4	0	3						49
49	49	1	6/8	3/4	0	3						50
50	50	1	6/8	3/4	0	3						51
51	51	1	6/8	3/4	0	3						52
52	52	1	6/8	3/4	0	4						53
53	53	1	6/8	3/4	0	3						54
54	54	1	6/8	3/4	0	4						55
55	55	1	6/8	3/4	0	3						56
56	56	1	6/8	3/4	0	3						57
57	57	1	6/8	3/4	0	2						58
58	58	1	6/8	3/4	0	2	lastMeasure		end			-1
