mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-5	4/4	1	0	5	firstMeasure					2
2	2	-5	4/4	1	0	5						3
3	3	-5	4/4	1	0	4						4
4	4	-5	4/4	1	0	3						5
5	5	-5	4/4	1	0	3						6
6	6	-5	4/4	1	0	3						7
7	7	-5	4/4	1	0	3						8
8	8	-5	4/4	1	0	3						9
9	9	-5	4/4	1	0	2						10
10	10	-5	4/4	1	0	4						11
11	11	-5	4/4	1	0	4						12
12	12	-5	4/4	1	0	3						13
13	13	-5	4/4	1	0	4						14
14	14	-5	4/4	1	0	3						15
15	15	-5	4/4	1	0	3	lastMeasure		end			-1
